,RNA_NAME,Regression coefficient,R-square
49,hsa-mir-137,0.03225,0.01152674
50,hsa-mir-23b,0.04483,0.0114936
51,hsa-mir-369,0.0272,0.0114616
52,hsa-mir-301b,0.03983,0.010998
53,hsa-mir-181a-1,0.03574,0.01094948
54,hsa-mir-326,0.03843,0.01088062
55,hsa-mir-105-1,0.01611,0.01062925
56,hsa-mir-521-1,0.03471,0.01062803
57,hsa-mir-299,0.02844,0.01057221
58,hsa-mir-200a,0.0138,0.01033622
59,hsa-mir-223,0.02883,0.01026439
60,hsa-mir-532,0.04687,0.00983057
61,hsa-mir-6510,0.02925,0.00980205
62,hsa-mir-143,0.02707,0.00968883
63,hsa-mir-181c,0.03434,0.0096514
64,hsa-mir-382,0.02343,0.0095938
65,hsa-mir-361,0.065,0.00944225
66,hsa-mir-449a,0.03172,0.0094143
67,hsa-mir-101-2,0.04147,0.00937511
68,hsa-mir-487a,0.03209,0.00905215
69,hsa-mir-346,0.0483,0.00899952
70,hsa-mir-190b,0.03334,0.00833005
71,hsa-mir-34c,0.02232,0.0083036
72,hsa-mir-1298,0.03711,0.00820491
73,hsa-mir-96,0.02305,0.00818889
74,hsa-mir-505,0.0408,0.00812465
75,hsa-let-7i,0.03739,0.00810139
76,hsa-mir-26a-1,0.05233,0.00809786
77,hsa-mir-219a-2,0.01463,0.00803616
78,hsa-mir-598,0.02589,0.00803611
79,hsa-mir-379,0.01973,0.00799012
80,hsa-mir-877,0.04118,0.00792983
81,hsa-mir-127,0.02026,0.00784295
82,hsa-mir-423,0.05528,0.00778319
83,hsa-mir-20a,0.03069,0.00760567
84,hsa-mir-3942,0.08006,0.00753323
85,hsa-mir-520g,0.02465,0.00751419
86,hsa-mir-5586,0.0406,0.00734664
87,hsa-mir-3610,0.06023,0.00709097
88,hsa-mir-509-3,0.02026,0.00707398
89,hsa-mir-18b,0.04508,0.00698518
90,hsa-mir-345,0.02507,0.00665587
91,hsa-mir-885,0.02007,0.0066129
92,hsa-mir-4443,0.0677,0.00659798
93,hsa-mir-671,0.04343,0.00655601
94,hsa-mir-106a,0.02203,0.00648871
95,hsa-mir-128-1,0.02991,0.00644843
96,hsa-mir-203b,0.01368,0.00637861
97,hsa-mir-187,0.01595,0.0063459
98,hsa-mir-3928,0.04942,0.00629159
99,hsa-mir-632,0.07613,0.00612744
100,hsa-mir-1271,0.03812,0.00598324
101,hsa-mir-130a,0.02711,0.00595217
102,hsa-mir-31,0.01369,0.0059429
103,hsa-mir-224,0.01637,0.00582518
104,hsa-mir-526a-1,0.06681,0.0057728
105,hsa-mir-527,0.0231,0.00576767
106,hsa-mir-627,0.04976,0.00575722
107,hsa-mir-150,0.01679,0.00566515
108,hsa-mir-628,0.02998,0.00559835
109,hsa-mir-4684,0.11665,0.00559349
