,RNA_NAME,Regression coefficient,R-square
602,hsa-mir-937,0.00207,2.64E-05
603,hsa-mir-5708,0.0061,2.55E-05
604,hsa-mir-7161,0.00442,2.52E-05
605,hsa-mir-412,0.0013,2.32E-05
606,hsa-mir-4517,0.0062,2.27E-05
607,hsa-mir-4431,0.00479,2.26E-05
608,hsa-mir-4758,0.00428,2.19E-05
609,hsa-mir-2113,0.00498,2.16E-05
610,hsa-mir-4768,0.00874,2.09E-05
611,hsa-mir-4742,0.00377,2.08E-05
612,hsa-mir-196b,0.00064,2.04E-05
613,hsa-mir-6801,0.0129,2.00E-05
614,hsa-mir-3193,0.00383,1.95E-05
615,hsa-mir-3918,0.0134,1.90E-05
616,hsa-mir-4773-2,0.00807,1.85E-05
617,hsa-mir-32,0.00178,1.76E-05
618,hsa-mir-1538,0.00535,1.59E-05
619,hsa-mir-138-1,0.00103,1.55E-05
620,hsa-mir-7844,0.00623,1.52E-05
621,hsa-mir-6793,0.00496,1.49E-05
622,hsa-mir-4766,0.00336,1.49E-05
623,hsa-mir-4461,0.00232,1.46E-05
624,hsa-mir-548b,0.00195,1.45E-05
625,hsa-mir-3127,0.00186,1.44E-05
626,hsa-mir-4762,0.00449,1.33E-05
627,hsa-mir-3176,0.00394,1.24E-05
628,hsa-mir-3152,0.00415,1.11E-05
629,hsa-mir-6773,0.00632,1.10E-05
631,hsa-mir-3183,0.00776,1.02E-05
630,hsa-mir-641,0.00419,1.02E-05
632,hsa-mir-3688-2,0.00969,1.00E-05
633,hsa-mir-335,0.00094,9.75E-06
634,hsa-mir-6502,0.00346,9.14E-06
635,hsa-mir-570,0.00227,8.83E-06
636,hsa-mir-5584,0.0058,8.78E-06
637,hsa-mir-3939,0.00616,7.62E-06
638,hsa-mir-491,0.00121,6.78E-06
639,hsa-mir-494,0.0009,6.39E-06
640,hsa-mir-6880,0.00817,6.31E-06
641,hsa-mir-7641-1,0.00207,6.27E-06
642,hsa-mir-1254-2,0.00207,6.07E-06
643,hsa-mir-3188,0.0035,5.65E-06
644,hsa-mir-659,0.0017,5.48E-06
645,hsa-mir-3158-2,0.00378,5.14E-06
646,hsa-mir-6780b,0.0063,4.55E-06
647,hsa-mir-6508,0.00464,4.53E-06
649,hsa-mir-4434,0.00396,4.44E-06
648,hsa-mir-2355,0.00097,4.44E-06
650,hsa-mir-378d-2,0.00201,3.63E-06
651,hsa-mir-5694,0.00236,3.27E-06
652,hsa-mir-6754,0.00402,3.09E-06
653,hsa-mir-23a,0.00081,3.06E-06
654,hsa-mir-548aw,0.00225,2.95E-06
655,hsa-mir-377,0.00051,2.87E-06
656,hsa-mir-5690,0.00201,2.75E-06
657,hsa-mir-548ah,0.0069,2.53E-06
658,hsa-mir-1256,0.00368,2.48E-06
659,hsa-mir-6781,0.00197,2.10E-06
660,hsa-mir-6749,0.00364,1.64E-06
661,hsa-mir-1243,0.00139,1.18E-06
662,hsa-mir-133a-2,0.00024,1.08E-06
663,hsa-mir-22,0.00037,4.60E-07
664,hsa-mir-670,0.00085,3.70E-07
665,hsa-mir-4683,0.00076,3.10E-07
666,hsa-mir-4433b,0.00089,3.00E-07
667,hsa-mir-320a,0.00019,1.50E-07
668,hsa-mir-5100,0.00174,1.40E-07
669,hsa-mir-2116,0.00029,1.10E-07
670,hsa-mir-612,0.00037,9.00E-08
671,hsa-mir-6851,0.00013,0
672,hsa-mir-3653,2.00E-05,0
673,hsa-mir-99b,0,0
674,hsa-mir-99a,0,0
675,hsa-mir-98,0,0
676,hsa-mir-943,0,0
677,hsa-mir-941-1,0,0
678,hsa-mir-940,0,0
679,hsa-mir-938,0,0
680,hsa-mir-936,0,0
681,hsa-mir-92b,0,0
682,hsa-mir-92a-2,0,0
683,hsa-mir-92a-1,0,0
684,hsa-mir-922,0,0
685,hsa-mir-921,0,0
686,hsa-mir-9-2,0,0
687,hsa-mir-9-1,0,0
688,hsa-mir-892c,0,0
689,hsa-mir-892b,0,0
690,hsa-mir-892a,0,0
691,hsa-mir-890,0,0
692,hsa-mir-889,0,0
693,hsa-mir-888,0,0
694,hsa-mir-875,0,0
695,hsa-mir-874,0,0
696,hsa-mir-8086,0,0
697,hsa-mir-8085,0,0
698,hsa-mir-8083,0,0
699,hsa-mir-8082,0,0
700,hsa-mir-8079,0,0
701,hsa-mir-8077,0,0
702,hsa-mir-8076,0,0
703,hsa-mir-8075,0,0
704,hsa-mir-8074,0,0
705,hsa-mir-8073,0,0
706,hsa-mir-8072,0,0
707,hsa-mir-8071-1,0,0
708,hsa-mir-8070,0,0
709,hsa-mir-8066,0,0
710,hsa-mir-8065,0,0
711,hsa-mir-8064,0,0
712,hsa-mir-8063,0,0
713,hsa-mir-8059,0,0
714,hsa-mir-8058,0,0
715,hsa-mir-8057,0,0
716,hsa-mir-8052,0,0
717,hsa-mir-7978,0,0
718,hsa-mir-7977,0,0
719,hsa-mir-7976,0,0
720,hsa-mir-7975,0,0
721,hsa-mir-7974,0,0
722,hsa-mir-7973-2,0,0
723,hsa-mir-7973-1,0,0
724,hsa-mir-7856,0,0
725,hsa-mir-7855,0,0
726,hsa-mir-7854,0,0
727,hsa-mir-7853,0,0
728,hsa-mir-7852,0,0
729,hsa-mir-7851,0,0
730,hsa-mir-7850,0,0
731,hsa-mir-7849,0,0
732,hsa-mir-7848,0,0
733,hsa-mir-7847,0,0
734,hsa-mir-7845,0,0
735,hsa-mir-7843,0,0
736,hsa-mir-7706,0,0
737,hsa-mir-7704,0,0
738,hsa-mir-7703,0,0
739,hsa-mir-770,0,0
740,hsa-mir-7641-2,0,0
741,hsa-mir-764,0,0
742,hsa-mir-762,0,0
743,hsa-mir-761,0,0
744,hsa-mir-718,0,0
745,hsa-mir-7162,0,0
746,hsa-mir-7160,0,0
747,hsa-mir-7159,0,0
748,hsa-mir-7158,0,0
749,hsa-mir-7157,0,0
750,hsa-mir-7154,0,0
751,hsa-mir-7153,0,0
752,hsa-mir-7152,0,0
753,hsa-mir-7151,0,0
754,hsa-mir-7150,0,0
755,hsa-mir-7114,0,0
756,hsa-mir-7113,0,0
757,hsa-mir-711,0,0
758,hsa-mir-7109,0,0
759,hsa-mir-7108,0,0
760,hsa-mir-7107,0,0
761,hsa-mir-7106,0,0
762,hsa-mir-708,0,0
763,hsa-mir-7-1,0,0
764,hsa-mir-6895,0,0
765,hsa-mir-6893,0,0
766,hsa-mir-6891,0,0
767,hsa-mir-6890,0,0
768,hsa-mir-6889,0,0
769,hsa-mir-6888,0,0
770,hsa-mir-6886,0,0
771,hsa-mir-6883,0,0
772,hsa-mir-6881,0,0
773,hsa-mir-6879,0,0
774,hsa-mir-6878,0,0
775,hsa-mir-6876,0,0
776,hsa-mir-6875,0,0
777,hsa-mir-6874,0,0
778,hsa-mir-6873,0,0
779,hsa-mir-6872,0,0
780,hsa-mir-6871,0,0
781,hsa-mir-6869,0,0
782,hsa-mir-6867,0,0
783,hsa-mir-6866,0,0
784,hsa-mir-6865,0,0
785,hsa-mir-6864,0,0
786,hsa-mir-6863,0,0
787,hsa-mir-6862-2,0,0
788,hsa-mir-6862-1,0,0
789,hsa-mir-6861,0,0
790,hsa-mir-6859-4,0,0
791,hsa-mir-6858,0,0
792,hsa-mir-6857,0,0
793,hsa-mir-6856,0,0
794,hsa-mir-6852,0,0
795,hsa-mir-6850,0,0
796,hsa-mir-6849,0,0
797,hsa-mir-6848,0,0
798,hsa-mir-6847,0,0
799,hsa-mir-6846,0,0
800,hsa-mir-6845,0,0
801,hsa-mir-6843,0,0
802,hsa-mir-6841,0,0
803,hsa-mir-6840,0,0
804,hsa-mir-6839,0,0
805,hsa-mir-6836,0,0
806,hsa-mir-6835,0,0
807,hsa-mir-6834,0,0
808,hsa-mir-6833,0,0
809,hsa-mir-6832,0,0
810,hsa-mir-6830,0,0
811,hsa-mir-6829,0,0
812,hsa-mir-6828,0,0
813,hsa-mir-6825,0,0
814,hsa-mir-6824,0,0
815,hsa-mir-6823,0,0
816,hsa-mir-6822,0,0
817,hsa-mir-6821,0,0
818,hsa-mir-6819,0,0
819,hsa-mir-6817,0,0
820,hsa-mir-6816,0,0
821,hsa-mir-6815,0,0
822,hsa-mir-6813,0,0
823,hsa-mir-6811,0,0
824,hsa-mir-6810,0,0
825,hsa-mir-6807,0,0
826,hsa-mir-6806,0,0
827,hsa-mir-6805,0,0
828,hsa-mir-6803,0,0
829,hsa-mir-6802,0,0
830,hsa-mir-6800,0,0
831,hsa-mir-6799,0,0
832,hsa-mir-6796,0,0
833,hsa-mir-6795,0,0
834,hsa-mir-6794,0,0
835,hsa-mir-6792,0,0
836,hsa-mir-6791,0,0
837,hsa-mir-6790,0,0
838,hsa-mir-6789,0,0
839,hsa-mir-6788,0,0
840,hsa-mir-6787,0,0
841,hsa-mir-6786,0,0
842,hsa-mir-6785,0,0
843,hsa-mir-6784,0,0
844,hsa-mir-6783,0,0
845,hsa-mir-6782,0,0
846,hsa-mir-6780a,0,0
847,hsa-mir-6779,0,0
848,hsa-mir-6778,0,0
849,hsa-mir-6776,0,0
850,hsa-mir-6775,0,0
851,hsa-mir-6772,0,0
852,hsa-mir-6771,0,0
853,hsa-mir-6770-3,0,0
854,hsa-mir-6770-2,0,0
855,hsa-mir-6770-1,0,0
856,hsa-mir-6769b,0,0
857,hsa-mir-6768,0,0
858,hsa-mir-6767,0,0
859,hsa-mir-6765,0,0
860,hsa-mir-6763,0,0
861,hsa-mir-6760,0,0
862,hsa-mir-6759,0,0
863,hsa-mir-6758,0,0
864,hsa-mir-6757,0,0
865,hsa-mir-6756,0,0
866,hsa-mir-6755,0,0
867,hsa-mir-6753,0,0
868,hsa-mir-6752,0,0
869,hsa-mir-6751,0,0
870,hsa-mir-6747,0,0
871,hsa-mir-6745,0,0
872,hsa-mir-6742,0,0
873,hsa-mir-6741,0,0
874,hsa-mir-6737,0,0
875,hsa-mir-6732,0,0
876,hsa-mir-6731,0,0
877,hsa-mir-6730,0,0
878,hsa-mir-6729,0,0
879,hsa-mir-6727,0,0
880,hsa-mir-6723,0,0
881,hsa-mir-6722,0,0
882,hsa-mir-6721,0,0
883,hsa-mir-6719,0,0
884,hsa-mir-6718,0,0
885,hsa-mir-6717,0,0
886,hsa-mir-6715a,0,0
887,hsa-mir-668,0,0
888,hsa-mir-665,0,0
889,hsa-mir-663b,0,0
890,hsa-mir-663a,0,0
891,hsa-mir-661,0,0
892,hsa-mir-660,0,0
893,hsa-mir-658,0,0
894,hsa-mir-657,0,0
895,hsa-mir-655,0,0
896,hsa-mir-654,0,0
897,hsa-mir-652,0,0
898,hsa-mir-6516,0,0
899,hsa-mir-6513,0,0
900,hsa-mir-6507,0,0
901,hsa-mir-6506,0,0
902,hsa-mir-6505,0,0
903,hsa-mir-6504,0,0
904,hsa-mir-6503,0,0
905,hsa-mir-6500,0,0
906,hsa-mir-650,0,0
907,hsa-mir-6499,0,0
908,hsa-mir-648,0,0
909,hsa-mir-647,0,0
910,hsa-mir-646,0,0
911,hsa-mir-645,0,0
912,hsa-mir-644a,0,0
913,hsa-mir-642b,0,0
914,hsa-mir-640,0,0
915,hsa-mir-639,0,0
916,hsa-mir-638,0,0
917,hsa-mir-637,0,0
918,hsa-mir-635,0,0
919,hsa-mir-634,0,0
920,hsa-mir-633,0,0
921,hsa-mir-631,0,0
922,hsa-mir-630,0,0
923,hsa-mir-626,0,0
924,hsa-mir-625,0,0
925,hsa-mir-624,0,0
926,hsa-mir-623,0,0
927,hsa-mir-620,0,0
928,hsa-mir-619,0,0
929,hsa-mir-617,0,0
930,hsa-mir-6165,0,0
931,hsa-mir-614,0,0
932,hsa-mir-6134,0,0
933,hsa-mir-6133,0,0
934,hsa-mir-6132,0,0
935,hsa-mir-6131,0,0
936,hsa-mir-6130,0,0
937,hsa-mir-613,0,0
938,hsa-mir-6129,0,0
939,hsa-mir-6128,0,0
940,hsa-mir-6126,0,0
941,hsa-mir-6125,0,0
942,hsa-mir-6124,0,0
943,hsa-mir-611,0,0
944,hsa-mir-610,0,0
945,hsa-mir-6090,0,0
946,hsa-mir-609,0,0
947,hsa-mir-6089-1,0,0
948,hsa-mir-6088,0,0
949,hsa-mir-6085,0,0
950,hsa-mir-6083,0,0
951,hsa-mir-6081,0,0
952,hsa-mir-6080,0,0
953,hsa-mir-608,0,0
954,hsa-mir-6079,0,0
955,hsa-mir-6077,0,0
956,hsa-mir-6076,0,0
957,hsa-mir-6075,0,0
958,hsa-mir-6073,0,0
959,hsa-mir-6072,0,0
960,hsa-mir-6071,0,0
961,hsa-mir-6070,0,0
962,hsa-mir-606,0,0
963,hsa-mir-604,0,0
964,hsa-mir-602,0,0
965,hsa-mir-601,0,0
966,hsa-mir-600,0,0
967,hsa-mir-597,0,0
968,hsa-mir-596,0,0
969,hsa-mir-595,0,0
970,hsa-mir-593,0,0
971,hsa-mir-591,0,0
972,hsa-mir-589,0,0
973,hsa-mir-588,0,0
974,hsa-mir-587,0,0
975,hsa-mir-586,0,0
976,hsa-mir-583,0,0
977,hsa-mir-5787,0,0
978,hsa-mir-578,0,0
979,hsa-mir-575,0,0
980,hsa-mir-574,0,0
981,hsa-mir-572,0,0
982,hsa-mir-571,0,0
983,hsa-mir-5707,0,0
984,hsa-mir-5704,0,0
985,hsa-mir-5702,0,0
986,hsa-mir-5700,0,0
987,hsa-mir-5695,0,0
988,hsa-mir-5692c-2,0,0
989,hsa-mir-5692c-1,0,0
990,hsa-mir-5692a-2,0,0
991,hsa-mir-5692a-1,0,0
992,hsa-mir-5691,0,0
993,hsa-mir-569,0,0
994,hsa-mir-5689,0,0
995,hsa-mir-5688,0,0
996,hsa-mir-5681b,0,0
997,hsa-mir-5681a,0,0
998,hsa-mir-568,0,0
999,hsa-mir-567,0,0
1000,hsa-mir-564,0,0
1001,hsa-mir-563,0,0
1002,hsa-mir-561,0,0
1003,hsa-mir-5591,0,0
1004,hsa-mir-5590,0,0
1005,hsa-mir-5588,0,0
1006,hsa-mir-5587,0,0
1007,hsa-mir-5585,0,0
1008,hsa-mir-5583-2,0,0
1009,hsa-mir-5583-1,0,0
1010,hsa-mir-5582,0,0
1011,hsa-mir-5581,0,0
1012,hsa-mir-5580,0,0
1013,hsa-mir-558,0,0
1014,hsa-mir-5572,0,0
1015,hsa-mir-555,0,0
1016,hsa-mir-554,0,0
1017,hsa-mir-553,0,0
1018,hsa-mir-550b-2,0,0
1019,hsa-mir-550b-1,0,0
1020,hsa-mir-550a-2,0,0
1021,hsa-mir-550a-1,0,0
1022,hsa-mir-548x-2,0,0
1023,hsa-mir-548x,0,0
1024,hsa-mir-548w,0,0
1025,hsa-mir-548v,0,0
1026,hsa-mir-548u,0,0
1027,hsa-mir-548p,0,0
1028,hsa-mir-548o,0,0
1029,hsa-mir-548m,0,0
1030,hsa-mir-548i-1,0,0
1031,hsa-mir-548h-5,0,0
1032,hsa-mir-548h-4,0,0
1033,hsa-mir-548h-3,0,0
1034,hsa-mir-548h-1,0,0
1035,hsa-mir-548f-5,0,0
1036,hsa-mir-548f-1,0,0
1037,hsa-mir-548d-1,0,0
1038,hsa-mir-548bb,0,0
1039,hsa-mir-548ay,0,0
1040,hsa-mir-548ax,0,0
1041,hsa-mir-548av,0,0
1042,hsa-mir-548at,0,0
1043,hsa-mir-548as,0,0
1044,hsa-mir-548ar,0,0
1045,hsa-mir-548ap,0,0
1046,hsa-mir-548ao,0,0
1047,hsa-mir-548an,0,0
1048,hsa-mir-548am,0,0
1049,hsa-mir-548al,0,0
1050,hsa-mir-548ak,0,0
1051,hsa-mir-548aj-1,0,0
1052,hsa-mir-548ai,0,0
1053,hsa-mir-548ag-2,0,0
1054,hsa-mir-548ag-1,0,0
1055,hsa-mir-548ad,0,0
1056,hsa-mir-548ac,0,0
1057,hsa-mir-548ab,0,0
1058,hsa-mir-548aa-2,0,0
1059,hsa-mir-548aa-1,0,0
1060,hsa-mir-548a-3,0,0
1061,hsa-mir-548a-2,0,0
1062,hsa-mir-545,0,0
1063,hsa-mir-544b,0,0
1064,hsa-mir-544a,0,0
1065,hsa-mir-526a-2,0,0
1066,hsa-mir-525,0,0
1067,hsa-mir-523,0,0
1068,hsa-mir-521-2,0,0
1069,hsa-mir-520h,0,0
1070,hsa-mir-520c,0,0
1071,hsa-mir-520a,0,0
1072,hsa-mir-519e,0,0
1073,hsa-mir-519c,0,0
1074,hsa-mir-519b,0,0
1075,hsa-mir-519a-2,0,0
1076,hsa-mir-519a-1,0,0
1077,hsa-mir-5197,0,0
1078,hsa-mir-5196,0,0
1079,hsa-mir-5195,0,0
1080,hsa-mir-5194,0,0
1081,hsa-mir-5192,0,0
1082,hsa-mir-5191,0,0
1083,hsa-mir-5190,0,0
1084,hsa-mir-518e,0,0
1085,hsa-mir-518c,0,0
1086,hsa-mir-518b,0,0
1087,hsa-mir-518a-2,0,0
1088,hsa-mir-5189,0,0
1089,hsa-mir-5188,0,0
1090,hsa-mir-516b-2,0,0
1091,hsa-mir-516b-1,0,0
1092,hsa-mir-515-2,0,0
1093,hsa-mir-514a-3,0,0
1094,hsa-mir-514a-2,0,0
1095,hsa-mir-513c,0,0
1096,hsa-mir-513b,0,0
1097,hsa-mir-513a-2,0,0
1098,hsa-mir-513a-1,0,0
1099,hsa-mir-510,0,0
1100,hsa-mir-5095,0,0
1101,hsa-mir-5094,0,0
1102,hsa-mir-5093,0,0
1103,hsa-mir-5092,0,0
1104,hsa-mir-5089,0,0
1105,hsa-mir-5087,0,0
1106,hsa-mir-507,0,0
1107,hsa-mir-5047,0,0
1108,hsa-mir-503,0,0
1109,hsa-mir-502,0,0
1110,hsa-mir-5011,0,0
1111,hsa-mir-5010,0,0
1112,hsa-mir-501,0,0
1113,hsa-mir-5009,0,0
1114,hsa-mir-5008,0,0
1115,hsa-mir-5007,0,0
1116,hsa-mir-5006,0,0
1117,hsa-mir-5004,0,0
1118,hsa-mir-5003,0,0
1119,hsa-mir-5002,0,0
1120,hsa-mir-5000,0,0
1121,hsa-mir-499b,0,0
1122,hsa-mir-4999,0,0
1123,hsa-mir-498,0,0
1124,hsa-mir-495,0,0
1125,hsa-mir-493,0,0
1126,hsa-mir-490,0,0
1127,hsa-mir-485,0,0
1128,hsa-mir-4804,0,0
1129,hsa-mir-4803,0,0
1130,hsa-mir-4802,0,0
1131,hsa-mir-4800,0,0
1132,hsa-mir-4799,0,0
1133,hsa-mir-4798,0,0
1134,hsa-mir-4796,0,0
1135,hsa-mir-4795,0,0
1136,hsa-mir-4794,0,0
1137,hsa-mir-4790,0,0
1138,hsa-mir-4787,0,0
1139,hsa-mir-4784,0,0
1140,hsa-mir-4783,0,0
1141,hsa-mir-4782,0,0
1142,hsa-mir-4780,0,0
1143,hsa-mir-4777,0,0
1144,hsa-mir-4776-2,0,0
1145,hsa-mir-4776-1,0,0
1146,hsa-mir-4775,0,0
1147,hsa-mir-4774,0,0
1148,hsa-mir-4773-1,0,0
1149,hsa-mir-4771-2,0,0
1150,hsa-mir-4770,0,0
1151,hsa-mir-4769,0,0
1152,hsa-mir-4767,0,0
1153,hsa-mir-4765,0,0
1154,hsa-mir-4764,0,0
1155,hsa-mir-4761,0,0
1156,hsa-mir-4760,0,0
1157,hsa-mir-4757,0,0
1158,hsa-mir-4754,0,0
1159,hsa-mir-4752,0,0
1160,hsa-mir-4750,0,0
1161,hsa-mir-4749,0,0
1162,hsa-mir-4747,0,0
1163,hsa-mir-4746,0,0
1164,hsa-mir-4744,0,0
1165,hsa-mir-4743,0,0
1166,hsa-mir-4741,0,0
1167,hsa-mir-4740,0,0
1168,hsa-mir-4738,0,0
1169,hsa-mir-4737,0,0
1170,hsa-mir-4736,0,0
1171,hsa-mir-4735,0,0
1172,hsa-mir-4734,0,0
1173,hsa-mir-4733,0,0
1174,hsa-mir-4731,0,0
1175,hsa-mir-4730,0,0
1176,hsa-mir-4729,0,0
1177,hsa-mir-4725,0,0
1178,hsa-mir-4723,0,0
1179,hsa-mir-4722,0,0
1180,hsa-mir-4721,0,0
1181,hsa-mir-4720,0,0
1182,hsa-mir-4719,0,0
1183,hsa-mir-4718,0,0
1184,hsa-mir-4717,0,0
1185,hsa-mir-4716,0,0
1186,hsa-mir-4715,0,0
1187,hsa-mir-4712,0,0
1188,hsa-mir-4711,0,0
1189,hsa-mir-4710,0,0
1190,hsa-mir-4708,0,0
1191,hsa-mir-4706,0,0
1192,hsa-mir-4705,0,0
1193,hsa-mir-4704,0,0
1194,hsa-mir-4703,0,0
1195,hsa-mir-4701,0,0
1196,hsa-mir-4700,0,0
1197,hsa-mir-4698,0,0
1198,hsa-mir-4697,0,0
1199,hsa-mir-4696,0,0
1200,hsa-mir-4695,0,0
1201,hsa-mir-4694,0,0
1202,hsa-mir-4693,0,0
1203,hsa-mir-4692,0,0
1204,hsa-mir-4689,0,0
1205,hsa-mir-4688,0,0
1206,hsa-mir-4687,0,0
1207,hsa-mir-4686,0,0
1208,hsa-mir-4682,0,0
1209,hsa-mir-4681,0,0
1210,hsa-mir-4679-2,0,0
1211,hsa-mir-4679-1,0,0
1212,hsa-mir-4678,0,0
1213,hsa-mir-4677,0,0
1214,hsa-mir-4673,0,0
1215,hsa-mir-4672,0,0
1216,hsa-mir-4671,0,0
1217,hsa-mir-4670,0,0
1218,hsa-mir-4666b,0,0
1219,hsa-mir-4666a,0,0
1220,hsa-mir-4663,0,0
1221,hsa-mir-4662b,0,0
1222,hsa-mir-4659b,0,0
1223,hsa-mir-4659a,0,0
1224,hsa-mir-4656,0,0
1225,hsa-mir-4655,0,0
1226,hsa-mir-4653,0,0
1227,hsa-mir-4652,0,0
1228,hsa-mir-4651,0,0
1229,hsa-mir-4650-2,0,0
1230,hsa-mir-4650-1,0,0
1231,hsa-mir-4646,0,0
1232,hsa-mir-4644,0,0
1233,hsa-mir-4643,0,0
1234,hsa-mir-4642,0,0
1235,hsa-mir-4641,0,0
1236,hsa-mir-4639,0,0
1237,hsa-mir-4637,0,0
1238,hsa-mir-4636,0,0
1239,hsa-mir-4635,0,0
1240,hsa-mir-4634,0,0
1241,hsa-mir-4633,0,0
1242,hsa-mir-4540,0,0
1243,hsa-mir-4539,0,0
1244,hsa-mir-4538,0,0
1245,hsa-mir-4537,0,0
1246,hsa-mir-4536-1,0,0
1247,hsa-mir-4534,0,0
1248,hsa-mir-4533,0,0
1249,hsa-mir-4532,0,0
1250,hsa-mir-4530,0,0
1251,hsa-mir-4529,0,0
1252,hsa-mir-4528,0,0
1253,hsa-mir-4527,0,0
1254,hsa-mir-4525,0,0
1255,hsa-mir-4524b,0,0
1256,hsa-mir-4523,0,0
1257,hsa-mir-4522,0,0
1258,hsa-mir-4520-2,0,0
1259,hsa-mir-4520-1,0,0
1260,hsa-mir-451b,0,0
1261,hsa-mir-4519,0,0
1262,hsa-mir-4518,0,0
1263,hsa-mir-4516,0,0
1264,hsa-mir-4513,0,0
1265,hsa-mir-4512,0,0
1266,hsa-mir-4511,0,0
1267,hsa-mir-4510,0,0
1268,hsa-mir-450a-2,0,0
1269,hsa-mir-4509-3,0,0
1270,hsa-mir-4509-1,0,0
1271,hsa-mir-4508,0,0
1272,hsa-mir-4507,0,0
1273,hsa-mir-4506,0,0
1274,hsa-mir-4505,0,0
1275,hsa-mir-4504,0,0
1276,hsa-mir-4503,0,0
1277,hsa-mir-4500,0,0
1278,hsa-mir-4499,0,0
1279,hsa-mir-4498,0,0
1280,hsa-mir-4497,0,0
1281,hsa-mir-4496,0,0
1282,hsa-mir-4495,0,0
1283,hsa-mir-4494,0,0
1284,hsa-mir-4493,0,0
1285,hsa-mir-4492,0,0
1286,hsa-mir-4490,0,0
1287,hsa-mir-4489,0,0
1288,hsa-mir-4488,0,0
1289,hsa-mir-4487,0,0
1290,hsa-mir-4485,0,0
1291,hsa-mir-4484,0,0
1292,hsa-mir-4483,0,0
1293,hsa-mir-4482,0,0
1294,hsa-mir-4480,0,0
1295,hsa-mir-448,0,0
1296,hsa-mir-4479,0,0
1297,hsa-mir-4478,0,0
1298,hsa-mir-4476,0,0
1299,hsa-mir-4475,0,0
1300,hsa-mir-4474,0,0
1301,hsa-mir-4473,0,0
1302,hsa-mir-4471,0,0
1303,hsa-mir-4468,0,0
1304,hsa-mir-4467,0,0
1305,hsa-mir-4466,0,0
1306,hsa-mir-4465,0,0
1307,hsa-mir-4464,0,0
1308,hsa-mir-4463,0,0
1309,hsa-mir-4462,0,0
1310,hsa-mir-4460,0,0
1311,hsa-mir-4459,0,0
1312,hsa-mir-4458,0,0
1313,hsa-mir-4457,0,0
1314,hsa-mir-4456,0,0
1315,hsa-mir-4453,0,0
1316,hsa-mir-4452,0,0
1317,hsa-mir-4451,0,0
1318,hsa-mir-4450,0,0
1319,hsa-mir-4448,0,0
1320,hsa-mir-4444-2,0,0
1321,hsa-mir-4442,0,0
1322,hsa-mir-4441,0,0
1323,hsa-mir-4439,0,0
1324,hsa-mir-4438,0,0
1325,hsa-mir-4437,0,0
1326,hsa-mir-4436b-2,0,0
1327,hsa-mir-4436b-1,0,0
1328,hsa-mir-4436a,0,0
1329,hsa-mir-4435-2,0,0
1330,hsa-mir-4433a,0,0
1331,hsa-mir-4432,0,0
1332,hsa-mir-4430,0,0
1333,hsa-mir-4429,0,0
1334,hsa-mir-4428,0,0
1335,hsa-mir-4427,0,0
1336,hsa-mir-4426,0,0
1337,hsa-mir-4424,0,0
1338,hsa-mir-4422,0,0
1339,hsa-mir-4420,0,0
1340,hsa-mir-4418,0,0
1341,hsa-mir-4417,0,0
1342,hsa-mir-4324,0,0
1343,hsa-mir-4323,0,0
1344,hsa-mir-4322,0,0
1345,hsa-mir-4321,0,0
1346,hsa-mir-4320,0,0
1347,hsa-mir-4317,0,0
1348,hsa-mir-4315-2,0,0
1349,hsa-mir-4315-1,0,0
1350,hsa-mir-4314,0,0
1351,hsa-mir-4313,0,0
1352,hsa-mir-4312,0,0
1353,hsa-mir-4310,0,0
1354,hsa-mir-4308,0,0
1355,hsa-mir-4305,0,0
1356,hsa-mir-4304,0,0
1357,hsa-mir-4302,0,0
1358,hsa-mir-4300,0,0
1359,hsa-mir-4296,0,0
1360,hsa-mir-4295,0,0
1361,hsa-mir-4292,0,0
1362,hsa-mir-4290,0,0
1363,hsa-mir-4289,0,0
1364,hsa-mir-4288,0,0
1365,hsa-mir-4286,0,0
1366,hsa-mir-4285,0,0
1367,hsa-mir-4284,0,0
1368,hsa-mir-4283-1,0,0
1369,hsa-mir-4281,0,0
1370,hsa-mir-4280,0,0
1371,hsa-mir-4279,0,0
1372,hsa-mir-4278,0,0
1373,hsa-mir-4270,0,0
1374,hsa-mir-4267,0,0
1375,hsa-mir-4264,0,0
1376,hsa-mir-4263,0,0
1377,hsa-mir-4262,0,0
1378,hsa-mir-4260,0,0
1379,hsa-mir-4259,0,0
1380,hsa-mir-4258,0,0
1381,hsa-mir-4257,0,0
1382,hsa-mir-4256,0,0
1383,hsa-mir-4253,0,0
1384,hsa-mir-424,0,0
1385,hsa-mir-422a,0,0
1386,hsa-mir-421,0,0
1387,hsa-mir-411,0,0
1388,hsa-mir-410,0,0
1389,hsa-mir-3978,0,0
1390,hsa-mir-3975,0,0
1391,hsa-mir-3972,0,0
1392,hsa-mir-3960,0,0
1393,hsa-mir-3945,0,0
1394,hsa-mir-3941,0,0
1395,hsa-mir-3938,0,0
1396,hsa-mir-3935,0,0
1397,hsa-mir-3929,0,0
1398,hsa-mir-3927,0,0
1399,hsa-mir-3926-2,0,0
1400,hsa-mir-3926-1,0,0
1401,hsa-mir-3925,0,0
1402,hsa-mir-3924,0,0
1403,hsa-mir-3923,0,0
1404,hsa-mir-3922,0,0
1405,hsa-mir-3921,0,0
1406,hsa-mir-3920,0,0
1407,hsa-mir-3916,0,0
1408,hsa-mir-3915,0,0
